Week,Day,Time budget,Focus,Tasks (exact to-dos),Book anchors
Week 1,Mon,45–60 min,C基础热身,阅读笔记：变量/表达式/函数/数组 → 写3个小题：字符串逆序、统计空格与字母、手写strlen,书：1.1.3 指针与数组；数据结构定义
Week 1,Tue,120 min,指针与结构体,"手打并运行结构体+指针示例；画内存示意图；写swap(int*,int*)与动态数组demo；valgrind检查",书：1.1.3 指针/数组；结构体入门
Week 1,Wed,120 min,文件I/O与工程习惯,实现：读取成绩文件并输出均值/最大值；写Makefile；写3个边界测试；记录README,书：算法分析入门(3.7)→理解规模/基本操作
Week 1,Thu,45–60 min,复盘与小测,做5题：指针运算、数组与指针差异；复盘本周问题清单,书：1.1.3 指针与复杂结构
Week 1,Fri,45–60 min,准备链表,预读单链表概念与操作流程；列出节点结构定义与需要的函数原型,书：单链表程序(程序1.7)、图1.19
Week 2,Mon,45–60 min,单链表基础,敲：节点定义、insert_at_head、print_list；写空表/单元素测试,书：程序1.7/图1.18-1.19
Week 2,Tue,120 min,插入/删除/查找,实现：按key有序插入、delete_by_key、find；用10组随机数据测试；valgrind无泄漏,书：程序1.7；单链表效率分析
Week 2,Wed,120 min,文件持久化+健壮性,实现：save_to_file/load_from_file；测试：断电/空文件/重复key；写错误处理,书：单链表操作流程(图1.19)
Week 2,Thu,45–60 min,小项目打包,将链表封装为list.h/list.c；写main.c与Makefile；README记录复杂度,书：线性表与随机/顺序存取对比
Week 2,Fri,45–60 min,查缺补漏,运行静态/动态分析；总结链表常见bug（丢链/双重释放/悬空指针）,书：单链表效率/内存管理
Week 3,Mon,45–60 min,栈的原理,阅读：函数调用与栈；实现顺序栈push/pop/top/empty；写2个单测,书：栈的作用/操作（图1.28-1.30）
Week 3,Tue,120 min,表达式求值(栈),用栈实现中缀转后缀+后缀求值；覆盖括号/优先级/非法输入测试,书：栈基本运算(Push/Pop/Sempty)
Week 3,Wed,120 min,队列与循环队列,实现顺序队列与循环队列：queue_in/queue_out；编写环满/环空测试,书：图1.38-1.39；队列操作/循环队列伪码
Week 3,Thu,45–60 min,链式结构版本,将栈/队列改为链式实现；比较内存与边界处理差异；记录优劣,书：队列顺序/链式存储区别
Week 3,Fri,45–60 min,小测验+复盘,完成10道选择/判断+3道实现题；复盘错误清单,书：本章小结
Week 4,Mon,45–60 min,递归与分治,阅读：递归出口/分治思想；手写阶乘与斐波那契(含尾递归/迭代对比),书：递归/分治与阶乘(程序1.15)
Week 4,Tue,120 min,二叉树遍历,实现：二叉树节点+先/中/后序(递归)；打印遍历序列；写空树/单节点/完全树测试,书：遍历定义与程序1.20
Week 4,Wed,120 min,二叉搜索树(BST),实现：BST插入/查找/删除；用随机数构造与有序序列构造；比较树高与查找成本,书：二叉树操作与唯一性讨论
Week 4,Thu,45–60 min,排序入门,实现：插入/冒泡/选择；统计比较/交换次数；解释时间复杂度,书：第三章3.1-3.3
Week 4,Fri,45–60 min,快速/归并/堆,实现简版快排/归并/堆排序各一次；对同一数组做对比；写结论,书：第三章3.3-3.5；3.7算法分析
